Date	logret
1/4/1954	0.008624082
1/11/1954	0.007114187
1/18/1954	0.00384704
1/25/1954	0.003648161
2/1/1954	-0.002982576
2/8/1954	-0.003338175
2/15/1954	0.003836696
2/23/1954	0.006101827
3/1/1954	0.002775054
3/8/1954	0.00194824
3/15/1954	-0.004068743
3/22/1954	0.010500471
3/29/1954	0.002704902
4/5/1954	0.008792958
4/12/1954	-0.00249416
4/19/1954	0.007439916
4/26/1954	0.005952469
5/3/1954	0.002267861
5/10/1954	0.002855728
5/17/1954	0.00298588
5/24/1954	-0.001341106
6/1/1954	-0.007830765
6/7/1954	0.006934388
6/14/1954	0.002386239
6/21/1954	0.005762114
6/28/1954	0.007998283
7/6/1954	-0.001154272
7/12/1954	0.00359696
7/19/1954	0.008091355
7/26/1954	-0.007089522
8/2/1954	0.004833442
8/9/1954	0.006872557
8/16/1954	-0.007721618
8/23/1954	-0.002272311
8/30/1954	0.00481453
9/7/1954	0.012081873
9/13/1954	0.009348768
9/20/1954	-0.001476965
9/27/1954	0.005081089
10/4/1954	-0.012952892
10/11/1954	0.005714484
10/18/1954	-0.006125553
10/25/1954	0.013895371
11/1/1954	0.010882514
11/8/1954	-0.001166936
11/15/1954	0.01405193
11/22/1954	-0.000754857
11/29/1954	0.000880539
12/6/1954	0.016762594
12/13/1954	-0.006701268
12/20/1954	0.007426099
12/27/1954	-0.007917522
1/3/1955	-0.000615061
1/10/1955	0.001965137
1/17/1955	0.00909487
1/24/1955	0.009143379
1/31/1955	0.002226856
2/7/1955	-0.003050163
2/14/1955	-0.003783695
2/21/1955	0.011137869
2/28/1955	-0.020137248
3/7/1955	0.004342981
3/14/1955	0.0092634
3/21/1955	-0.00011752
3/28/1955	0.004559871
4/4/1955	0.00715189
4/11/1955	0.000571666
4/18/1955	-0.000571666
4/25/1955	-0.000801598
5/2/1955	-0.005188765
5/9/1955	0.003466056
5/16/1955	0.002180947
5/23/1955	0.005008956
5/31/1955	0.009847862
6/6/1955	0.009304712
6/13/1955	0.009215575
6/20/1955	0.002431844
6/27/1955	0.015025404
7/5/1955	-0.002451339
7/11/1955	0.006102599
7/18/1955	0.005220431
7/25/1955	-0.009687267
8/1/1955	-0.003586267
8/8/1955	-0.001959304
8/15/1955	0.009911397
8/22/1955	0.006119044
8/29/1955	0.002879092
9/6/1955	0.011714654
9/12/1955	0.005170233
9/19/1955	-0.019067277
9/26/1955	-0.01302224
10/3/1955	-0.012052965
10/10/1955	0.014199653
10/17/1955	-0.002249176
10/24/1955	0.01599922
10/31/1955	0.012464913
11/7/1955	0.00287043
11/14/1955	0.001333069
11/21/1955	-0.002287773
11/28/1955	0.004279735
12/5/1955	-0.007252724
12/12/1955	0.003546063
12/19/1955	-0.000190941
12/27/1955	-0.003258901
1/3/1956	-0.004545602
1/9/1956	-0.01433119
1/16/1956	0.001304339
1/23/1956	0.014094987
1/30/1956	-0.011199347
2/6/1956	0.008670414
2/13/1956	0.007734746
